Título Consulta,Descrição Consulta,URL da Imagem,Enquetes,Sobre Consulta,Título de Cada Proposta,Descrição da Proposta,Autor da Proposta,Comentários (Parágrafos),Comentários da Consulta (Decreto),Comentários da Consulta (Portaria),Comentários do Decreto,Título de Cada Recomendação,Comentários das Recomendações
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugerimos detalhamento para a infraestrutura aguardada para execução, como centralizada ou se participantes do ecossistema terão de ter o seu próprio controle e gestão.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugiro a correção do parâmetro ""FPIR fixo de 0.001"" para ""FPIR fixo de 0.003"", conforme original em inglês ""The table below shows False Negative Identification Rates (FNIR) for the case where a threshold is set to limit to the False Positive Identification Rate (FPIR) to 0.003"" mostrado no site (https://pages.nist.gov/frvt/html/frvt1N.html). Sugiro também que o valor de FNIR deva ser de 0.0050 ou menos para o teste ""Immigration visa-border"", visando reduzir a quantidade de falsos negativos na base biométrica do SBF.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Recomendação para equiparação das duas formas de biometria, reduzindo a dependência de uma única tecnologia e aproveitando o uso integrado de ambas para aumentar a robustez do processo de verificação.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Nesse sentido, sugerimos a inclusão dos selos Ibeta nível 1 e nível 2 para as finalidades aguardadas para a biometria facial, inicialmente não ajustada na redação.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"O mFIT CHALLENGE é a avaliação de tecnologias emergentes de captura de impressões digitais através de dispositivos móveis por meio da construção e demonstração de protótipos de aplicativos, e não sendo objetivo avaliar necesariamente sua acuracia. Portanto,  recomendo que o mFIT não seja vinculado a questões de avaliar acurácia.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Esclarecer sob quais condições os testes de acurácia deverão ser realizados, uma vez que ditos testes, quando realizados pelo NIST, estão sujeitos aos procedimentos e réguas de corte definidos por aquela instituição. Em função da particularidade do tipo de teste e em qual modalidade biométrica se aplica, os requisitos deste item relativos ao tamanho mínimo de base total  e ou percentual de acurácia, podem não ser apropriados. Sugiro que revisem a redação deste parágrafo para indicar a qual benchmark se refere especificamente e a qual critério de acuracidade, para maior clareza. Na forma como está, me parece demasiado genérico ou então permite a confusão entre critérios de diferentes benchmarks.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Maior detalhamento da volumetria ajustada, passível a sugestão da retirada e indicação apenas do critério de execução de testes que permitam a demonstração da acurácia mínima.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugestão para exigência da ceritificação necessaria, bem como selo ibeta Level 1 e 2, visando robustez a todos os processos liveness.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"O texto merece ser melhor esclarecido e especificado, uma vez que há a classificação de risco dentro do alcance do liveness a solução deve ser capaz de deter ataques de apresentação PAD níveis 1 e 2. Para tanto, a solução deve possuir atestado de conformidade à norma ISO 30107-3, para PAD níveis 1 e 2 por qualquer instituto independente.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,Sugestão de ajuste para centralização Selo Ibeta Level 2.,,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugestão para exigência da ceritificação necessaria, bem como selo ibeta Level 1 e 2, visando robustez a todos os processos liveness.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Recomendação para ajuste dos critérios desde ""baixo a alto risco"".",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"O texto merece ser melhor esclarecido e especificado, uma vez que há a classificação de risco dentro do alcance do liveness a solução deve ser capaz de deter ataques de apresentação PAD níveis 1 e 2. Para tanto, a solução deve possuir atestado de conformidade à norma ISO 30107-3, para PAD níveis 1 e 2 por qualquer instituto independente. Sendo recomendável, mas não obrigatória, a certificação ""NIST FATE evaluation of passive facial presentation attack"".",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"O texto merece ser melhor esclarecido e especificado, uma vez que há a classificação de risco dentro do alcance do liveness a solução deve ser capaz de deter ataques de apresentação PAD níveis 1 e 2. Para tanto, a solução deve possuir atestado de conformidade à norma ISO 30107-3, para PAD níveis 1 e 2 por qualquer instituto independente.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugestão de exigência pela aplicação de tecnologias desenvolvidas por empresas nacionais, estimulando o crescimento da indústria tecnológica local e garantindo maior independência tecnológica para o Brasil.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"""(i) incorporar soluções nacionais certificadas e alinhadas às regulamentações vigentes.""",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,Sugestão:,,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"""3.2. ter, preferencialmente, mais de um fornecedor dos algoritmos do motor biométrico, integrados por meio de uma plataforma orquestradora que permita a interoperabilidade entre diferentes tecnologias.""",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Essa plataforma poderá ser gerida por uma empresa habilitada, que atuará como centralizadora dos serviços biométricos e intermediadora entre os fornecedores (second-party) e o Serviço .",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,Um sistema dessa importância deveria estar hospedado em dois sítios operacionais atuando ambos online com garantia máxima de recuperação de disastres (Tier VII).,,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugestão pela indicação apenas da Certificação ISO 27001:2022, ao contemplar significativos controles esperados, inclusive pertencentes à segunda.",,,,,
Serviço Biométrico Federal,"Proposta de Resolução para Instituir o Serviço Biométrico Federal para identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional - CIN.O Serviço de Identificação do Cidadão (SIC) é o conjunto de procedimentos e operações de gestão e verificação da identidade das pessoas naturais, por meio dos dados de identificação e dos dados cadastrais, perante a administração pública federal direta, autárquica e fundacional.Nesse sentido, para possibilitar o acesso às bases biométricas aprovadas pela Câmara-Executiva Federal de Identificação do Cidadão (CEFIC) e com o intuito de identificar e verificar biometricamente os requerentes da Carteira de Identidade Nacional de forma inequívoca, segura e atendendo aos padrões de segurança e qualidade, foi elaborada minuta de resolução com procedimentos, regras e requisitos de um barramento que permita a interoperabilidade entre as bases biométricas.A instituição do Serviço Biométrico Federal terá impacto relevante nas políticas públicas, e nos serviços privados, considerando a necessidade de identificação do cidadão em suas relações com o poder público e privado, fortalecendo o processo de identificação segura e inequívoca.Convidamos todas as pessoas a participarem da Consulta Pública sobre o Serviço Biométrico Federal. Contamos com a sua participação e agradecemos o interesse na construção do SIC.",,,,,,,"Sugestão para que os dados sejam armazenados em território brasileiro, observando as demais orientações legais aplicáveis.",,,,,
